Year, Article Count, Ref Count
1849,5,5
1850,113,113
1851,89,88
1852,93,93
1853,91,90
1854,71,70
1855,57,56
1856,43,43
1857,68,68
1858,94,94
1859,27,27
1860,75,75
1861,8,8
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,27,27
1887,117,117
1888,145,145
1889,176,176
1890,182,182
1891,158,157
1892,183,180
1893,166,165
1894,173,173
1895,208,208
1896,245,243
1897,217,217
1898,207,207
1899,134,134
1900,82,82
1901,114,114
1902,62,62
1903,96,96
1904,84,84
1905,62,62
1906,60,60
1907,48,48
1908,31,31
1909,12,12
1910,81,81
1911,38,38
1912,45,44
1913,47,47
1914,43,40
1915,42,42
1916,66,66
1917,58,58
1918,61,61
1919,60,60
1920,70,70
1921,51,51
1922,62,62
1923,62,61
1924,51,51
1925,34,34
1926,61,61
1927,54,54
1928,67,67
1929,74,74
1930,59,59
1931,59,59
1932,60,60
1933,62,62
1934,64,64
1935,62,62
1936,59,59
1937,63,63
1938,80,80
1939,73,72
1940,54,54
1941,24,24
1942,62,62
1943,37,37
1944,65,34
1945,49,36
1946,75,45
1947,92,38
1948,154,53
1949,126,50
1950,139,48
1951,168,46
1952,166,61
1953,134,41
1954,154,67
1955,171,77
1956,160,66
1957,219,72
1958,179,121
1959,215,80
1960,295,97
1961,251,90
1962,307,89
1963,332,115
1964,286,104
1965,336,133
1966,460,249
1967,521,310
1968,182,182
1969,166,166
1970,142,142
1971,163,163
1972,129,129
1973,158,158
1974,186,186
1975,140,140
1976,156,156
1977,169,169
1978,213,213
1979,245,245
1980,226,226
1981,233,233
1982,201,201
1983,198,198
1984,223,223
1985,271,271
1986,310,310
1987,323,323
1988,347,347
1989,353,353
1990,358,358
1991,375,375
1992,366,366
1993,428,428
1994,421,421
1995,504,504
1996,476,476
1997,460,460
