Year, Article Count, Ref Count
1503,3,0
1504,1,0
1505,0,0
1506,0,0
1507,0,0
1508,1,0
1509,2,0
1510,0,0
1511,0,0
1512,1,0
1513,3,0
1514,2,0
1515,1,0
1516,3,0
1517,2,0
1518,2,0
1519,0,0
1520,2,0
1521,0,0
1522,0,0
1523,2,0
1524,0,0
1525,0,0
1526,1,0
1527,1,0
1528,1,0
1529,0,0
1530,1,0
1531,1,0
1532,2,0
1533,4,0
1534,3,0
1535,4,0
1536,3,0
1537,4,0
1538,2,0
1539,0,0
1540,3,0
1541,2,0
1542,3,0
1543,6,0
1544,1,0
1545,2,0
1546,0,0
1547,0,0
1548,1,0
1549,4,0
1550,1,0
1551,2,0
1552,3,0
1553,8,0
1554,2,0
1555,1,0
1556,5,0
1557,3,0
1558,3,0
1559,2,0
1560,3,0
1561,6,0
1562,1,0
1563,1,0
1564,0,0
1565,0,0
1566,1,0
1567,2,0
1568,1,0
1569,1,0
1570,1,0
1571,0,0
1572,2,0
1573,4,0
1574,2,0
1575,2,0
1576,1,0
1577,2,0
1578,7,0
1579,4,0
1580,3,0
1581,3,0
1582,1,0
1583,2,0
1584,2,0
1585,2,0
1586,4,0
1587,0,0
1588,4,0
1589,2,0
1590,2,0
1591,1,0
1592,1,0
1593,1,0
1594,2,0
1595,2,0
1596,3,0
1597,3,0
1598,2,0
1599,1,0
1600,0,0
1601,5,0
1602,3,0
1603,5,0
1604,1,0
1605,4,0
1606,5,0
1607,4,0
1608,2,0
1609,6,0
1610,9,0
1611,6,0
1612,2,0
1613,4,0
1614,3,0
1615,3,0
1616,0,0
1617,3,0
1618,4,0
1619,14,0
1620,2,0
1621,1,0
1622,3,0
1623,2,0
1624,1,0
1625,2,0
1626,1,0
1627,6,0
1628,2,0
1629,1,0
1630,4,0
1631,1,0
1632,3,0
1633,3,0
1634,2,0
1635,1,0
1636,2,0
1637,0,0
1638,3,0
1639,2,0
1640,2,0
1641,2,0
1642,1,0
1643,2,0
1644,2,0
1645,2,0
1646,1,0
1647,3,0
1648,3,0
1649,1,0
1650,3,0
1651,3,0
1652,4,0
1653,8,0
1654,6,0
1655,8,0
1656,5,0
1657,0,0
1658,4,0
1659,1,0
1660,3,0
1661,6,0
1662,3,0
1663,4,0
1664,2,0
1665,166,156
1666,72,69
1667,1,0
1668,72,71
1669,69,66
1670,73,72
1671,77,76
1672,71,69
1673,68,66
1674,57,57
1675,68,65
1676,58,55
1677,78,75
1678,2,0
1679,5,0
1680,5,0
1681,7,0
1682,4,0
1683,62,58
1684,89,86
1685,101,95
1686,108,107
1687,1,0
1688,0,0
1689,3,0
1690,1,0
1691,3,0
1692,1,0
1693,83,82
1694,52,52
1695,151,149
1696,2,0
1697,2,0
1698,111,106
1699,85,81
1700,118,116
1701,3,0
1702,75,68
1703,3,0
1704,110,109
1705,4,0
1706,64,63
1707,4,0
1708,79,78
1709,1,0
1710,79,72
1711,1,0
1712,4,0
1713,43,39
1714,72,70
1715,6,1
1716,2,0
1717,79,77
1718,8,0
1719,7,0
1720,65,61
1721,1,0
1722,96,94
1723,7,0
1724,86,80
1725,8,0
1726,68,56
1727,72,66
1728,7,0
1729,76,67
1730,5,0
1731,76,74
1732,4,0
1733,77,66
1734,6,0
1735,91,86
1736,6,0
1737,88,83
1738,3,0
1739,176,166
1740,12,0
1741,7,0
1742,113,102
1743,10,0
1744,126,114
1745,7,0
1746,131,124
1747,5,0
1748,77,74
1749,188,174
1750,13,0
1751,107,98
1752,8,0
1753,115,109
1754,8,0
1755,129,118
1756,7,0
1757,134,118
1758,3,0
1759,97,89
1760,8,0
1761,127,112
1762,6,0
1763,62,57
1764,64,58
1765,47,35
1766,50,42
1767,57,52
1768,53,48
1769,81,69
1770,73,54
1771,71,57
1772,43,36
1773,51,41
1774,59,50
1775,63,50
1776,53,44
1777,52,39
1778,70,52
1779,52,40
1780,43,35
1781,72,60
1782,41,30
1783,40,29
1784,57,42
1785,33,26
1786,36,28
1787,85,40
1788,41,30
1789,37,25
1790,40,29
1791,36,27
1792,42,26
1793,26,20
1794,40,32
1795,30,23
1796,36,25
1797,30,24
1798,136,26
1799,141,97
1800,505,490
1801,138,121
1802,126,113
1803,212,200
1804,134,124
1805,171,149
1806,174,147
1807,136,124
1808,157,136
1809,146,135
1810,145,114
1811,183,125
1812,133,123
1813,138,124
1814,133,122
1815,593,537
1816,137,124
1817,142,122
1818,212,133
1819,137,125
1820,188,149
1821,225,192
1822,401,361
1823,331,308
1824,377,315
1825,362,260
1826,456,409
1827,383,333
1828,558,512
1829,405,382
1830,746,712
1831,369,314
1832,407,348
1833,483,442
1834,458,390
1835,564,480
1836,520,437
1837,658,634
1838,423,365
1839,416,375
1840,485,407
1841,402,355
1842,553,404
1843,821,724
1844,574,446
1845,574,497
1846,687,585
1847,794,694
1848,659,567
1849,822,594
1850,1004,888
1851,906,787
1852,868,752
1853,836,731
1854,953,790
1855,1079,958
1856,1140,998
1857,1322,1134
1858,1044,911
1859,1148,896
1860,1277,997
1861,1151,802
1862,1293,960
1863,1491,915
1864,987,681
1865,1357,915
1866,1706,1206
1867,1643,1165
1868,1341,938
1869,1584,1230
1870,2513,2082
1871,2477,2279
1872,2559,2082
1873,2851,2363
1874,2941,2236
1875,2740,2309
1876,2660,2283
1877,3105,2720
1878,3378,2896
1879,3574,3088
1880,3922,3466
1881,4148,3724
1882,3859,3384
1883,4683,4185
1884,5065,4158
1885,4839,4140
1886,5125,4370
1887,5233,4449
1888,5062,4491
1889,5306,4640
1890,5219,4588
1891,5172,4372
1892,5430,4911
1893,5528,4997
1894,5062,4537
1895,5746,5026
1896,6272,5410
1897,6036,5471
1898,6416,5579
1899,6703,5862
1900,6246,5356
1901,5675,4888
1902,6176,5201
1903,6989,6039
1904,6997,5962
1905,6725,5753
1906,7019,6119
1907,6968,5977
1908,7448,6214
1909,7526,6555
1910,8076,7000
1911,8923,7862
1912,8224,7126
1913,8575,7490
1914,7914,6872
1915,7439,6527
1916,7879,6901
1917,7214,6374
1918,7323,6245
1919,7772,6832
1920,8982,7968
1921,9213,8277
1922,10427,9029
1923,9995,8927
1924,10923,9841
1925,10934,9765
1926,11505,10242
1927,12082,10494
1928,11985,10847
1929,12440,11284
1930,13474,12042
1931,13270,11728
1932,13736,12351
1933,13963,12254
1934,14314,12742
1935,14088,12598
1936,14353,12621
1937,14081,12674
1938,14141,12657
1939,14036,12401
1940,12316,11107
1941,11597,10550
1942,10539,9466
1943,9761,8726
1944,8947,7918
1945,8409,7507
1946,11407,9758
1947,12117,10631
1948,14494,12854
1949,16765,14801
1950,18493,16529
1951,18849,17057
1952,18893,17296
1953,20444,18855
1954,21824,20104
1955,22817,20845
1956,24886,23163
1957,25966,24141
1958,28870,26767
1959,30406,28632
1960,34001,30771
1961,35447,32613
1962,40521,36836
1963,45902,41667
1964,48325,44394
1965,54992,49643
1966,60767,54852
1967,66749,60725
1968,69316,63762
1969,78023,68250
1970,80906,71763
1971,86041,74475
1972,88213,76602
1973,91262,78302
1974,102565,82406
1975,114570,89297
1976,116401,89801
1977,120602,92736
1978,121111,94941
1979,130251,98891
1980,132172,101617
1981,138022,104435
1982,134833,103984
1983,139597,107987
1984,143366,110154
