Year, Article Count, Ref Count
1895,170,170
1896,127,127
1897,135,135
1898,117,117
1899,124,124
1900,123,123
1901,98,98
1902,106,106
1903,92,92
1904,104,104
1905,111,111
1906,115,115
1907,108,108
1908,94,93
1909,104,104
1910,107,107
1911,84,84
1912,65,65
1913,76,75
1914,95,95
1915,80,80
1916,75,75
1917,75,74
1918,64,64
1919,79,79
1920,65,65
1921,68,68
1922,71,71
1923,65,65
1924,83,82
1925,75,75
1926,76,76
1927,70,70
1928,63,63
1929,75,75
1930,58,58
1931,64,64
1932,90,90
1933,75,75
1934,97,97
1935,82,82
1936,95,95
1937,106,106
1938,121,121
1939,126,126
1940,92,92
1941,132,132
1942,119,119
1943,97,97
1944,99,99
1945,98,98
1946,101,101
1947,101,101
1948,116,116
1949,132,132
1950,141,141
1951,130,130
1952,158,158
1953,127,127
1954,167,167
1955,166,166
1956,157,157
1957,158,158
1958,156,156
1959,209,209
1960,199,199
1961,246,246
1962,236,236
1963,258,258
1964,348,348
1965,386,386
1966,500,500
1967,436,436
1968,426,426
1969,445,445
1970,454,454
1971,506,506
1972,593,593
1973,745,745
1974,722,722
1975,745,745
1976,864,864
1977,854,854
1978,952,952
1979,915,915
1980,959,959
1981,969,969
1982,1043,1043
1983,1023,1023
1984,1165,1164
1985,1023,1023
1986,1066,1066
1987,1031,1031
1988,1113,1113
1989,1219,1218
1990,1325,1323
1991,1313,1312
1992,1262,1261
1993,1433,1431
1994,1513,1512
1995,1575,1574
1996,1601,1599
1997,1594,1594
