Year, Article Count, Ref Count
1954,8,8
1955,13,13
1956,8,8
1957,5,5
1958,7,7
1959,8,8
1960,6,6
1961,11,11
1962,15,15
1963,8,8
1964,14,14
1965,26,26
1966,18,18
1967,16,16
1968,16,16
1969,22,22
1970,21,21
1971,20,20
1972,16,16
1973,25,25
1974,46,46
1975,25,25
1976,59,59
1977,75,75
1978,72,72
1979,80,80
1980,64,64
1981,60,60
1982,73,73
1983,79,79
1984,78,78
1985,92,92
1986,77,77
1987,79,79
1988,65,65
1989,100,100
1990,121,121
1991,91,91
1992,123,123
1993,111,111
1994,255,255
1995,138,138
1996,140,140
1997,115,115
