Year, Article Count, Ref Count
1849,5,5
1850,113,113
1851,89,88
1852,93,93
1853,91,90
1854,71,70
1855,57,56
1856,43,43
1857,68,68
1858,94,94
1859,27,27
1860,75,75
1861,8,8
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,27,27
1887,117,117
1888,145,145
1889,176,176
1890,182,182
1891,158,157
1892,183,180
1893,166,165
1894,173,173
1895,378,378
1896,372,370
1897,352,352
1898,324,324
1899,258,258
1900,205,205
1901,212,212
1902,168,168
1903,188,188
1904,188,188
1905,173,173
1906,175,175
1907,156,156
1908,125,124
1909,116,116
1910,188,188
1911,122,122
1912,110,109
1913,123,122
1914,138,135
1915,122,122
1916,141,141
1917,133,132
1918,125,125
1919,139,139
1920,135,135
1921,119,119
1922,133,133
1923,127,126
1924,134,133
1925,109,109
1926,137,137
1927,124,124
1928,130,130
1929,149,149
1930,117,117
1931,123,123
1932,150,150
1933,137,137
1934,161,161
1935,144,144
1936,154,154
1937,169,169
1938,201,201
1939,199,198
1940,146,146
1941,156,156
1942,181,181
1943,134,134
1944,164,133
1945,147,134
1946,176,146
1947,193,139
1948,270,169
1949,258,182
1950,280,189
1951,298,176
1952,324,219
1953,261,168
1954,329,242
1955,350,256
1956,325,231
1957,382,235
1958,342,284
1959,432,297
1960,500,302
1961,508,347
1962,558,340
1963,598,381
1964,648,466
1965,748,545
1966,978,767
1967,973,762
1968,624,624
1969,633,633
1970,617,617
1971,689,689
1972,738,738
1973,928,928
1974,954,954
1975,910,910
1976,1079,1079
1977,1098,1098
1978,1237,1237
1979,1240,1240
1980,1249,1249
1981,1262,1262
1982,1317,1317
1983,1300,1300
1984,1466,1465
1985,1386,1386
1986,1453,1453
1987,1433,1433
1988,1525,1525
1989,1672,1671
1990,1804,1802
1991,1779,1778
1992,1751,1750
1993,1972,1970
1994,2189,2188
1995,2217,2216
1996,2217,2215
1997,2169,2169
